contestSlug,contestTitle,date,problemCount,titleSlug,questionFrontendId,title,difficulty,acRate
biweekly-contest-12,Biweekly Contest 12,2019-11-02,4,array-transformation,1243,Array Transformation,Easy,53.8
biweekly-contest-13,Biweekly Contest 13,2019-11-16,4,encode-number,1256,Encode Number,Medium,70.3
biweekly-contest-13,Biweekly Contest 13,2019-11-16,4,synonymous-sentences,1258,Synonymous Sentences,Medium,57.5
biweekly-contest-13,Biweekly Contest 13,2019-11-16,4,handshakes-that-dont-cross,1259,Handshakes That Don't Cross,Hard,61.5
biweekly-contest-13,Biweekly Contest 13,2019-11-16,4,smallest-common-region,1257,Smallest Common Region,Medium,68.3
biweekly-contest-14,Biweekly Contest 14,2019-11-30,4,remove-interval,1272,Remove Interval,Medium,67.3
biweekly-contest-14,Biweekly Contest 14,2019-11-30,4,delete-tree-nodes,1273,Delete Tree Nodes,Medium,61.6
biweekly-contest-14,Biweekly Contest 14,2019-11-30,4,number-of-ships-in-a-rectangle,1274,Number of Ships in a Rectangle,Hard,68.8
biweekly-contest-14,Biweekly Contest 14,2019-11-30,4,hexspeak,1271,Hexspeak,Easy,58.4
biweekly-contest-15,Biweekly Contest 15,2019-12-14,4,remove-covered-intervals,1288,Remove Covered Intervals,Medium,60.1
biweekly-contest-15,Biweekly Contest 15,2019-12-14,4,element-appearing-more-than-25-in-sorted-array,1287,Element Appearing More Than 25% In Sorted Array,Easy,61.3
biweekly-contest-15,Biweekly Contest 15,2019-12-14,4,minimum-falling-path-sum-ii,1289,Minimum Falling Path Sum II,Hard,63.0
biweekly-contest-15,Biweekly Contest 15,2019-12-14,4,iterator-for-combination,1286,Iterator for Combination,Medium,72.7
biweekly-contest-16,Biweekly Contest 16,2019-12-28,4,deepest-leaves-sum,1302,Deepest Leaves Sum,Medium,86.6
biweekly-contest-16,Biweekly Contest 16,2019-12-28,4,number-of-paths-with-max-score,1301,Number of Paths with Max Score,Hard,63.9
biweekly-contest-16,Biweekly Contest 16,2019-12-28,4,sum-of-mutated-array-closest-to-target,1300,Sum of Mutated Array Closest to Target,Medium,46.5
biweekly-contest-16,Biweekly Contest 16,2019-12-28,4,replace-elements-with-greatest-element-on-right-side,1299,Replace Elements with Greatest Element on Right Side,Easy,72.4
biweekly-contest-17,Biweekly Contest 17,2020-01-11,4,matrix-block-sum,1314,Matrix Block Sum,Medium,76.8
biweekly-contest-17,Biweekly Contest 17,2020-01-11,4,sum-of-nodes-with-even-valued-grandparent,1315,Sum of Nodes with Even-Valued Grandparent,Medium,86.0
biweekly-contest-17,Biweekly Contest 17,2020-01-11,4,decompress-run-length-encoded-list,1313,Decompress Run-Length Encoded List,Easy,86.3
biweekly-contest-17,Biweekly Contest 17,2020-01-11,4,distinct-echo-substrings,1316,Distinct Echo Substrings,Hard,53.4
biweekly-contest-18,Biweekly Contest 18,2020-01-25,4,reverse-subarray-to-maximize-array-value,1330,Reverse Subarray To Maximize Array Value,Hard,44.3
biweekly-contest-18,Biweekly Contest 18,2020-01-25,4,break-a-palindrome,1328,Break a Palindrome,Medium,51.6
biweekly-contest-18,Biweekly Contest 18,2020-01-25,4,sort-the-matrix-diagonally,1329,Sort the Matrix Diagonally,Medium,83.2
biweekly-contest-18,Biweekly Contest 18,2020-01-25,4,rank-transform-of-an-array,1331,Rank Transform of an Array,Easy,73.9
biweekly-contest-19,Biweekly Contest 19,2020-02-08,4,jump-game-iv,1345,Jump Game IV,Hard,51.0
biweekly-contest-19,Biweekly Contest 19,2020-02-08,4,number-of-steps-to-reduce-a-number-to-zero,1342,Number of Steps to Reduce a Number to Zero,Easy,85.9
biweekly-contest-19,Biweekly Contest 19,2020-02-08,4,number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,Medium,73.6
biweekly-contest-19,Biweekly Contest 19,2020-02-08,4,angle-between-hands-of-a-clock,1344,Angle Between Hands of a Clock,Medium,69.7
biweekly-contest-20,Biweekly Contest 20,2020-02-22,4,sort-integers-by-the-number-of-1-bits,1356,Sort Integers by The Number of 1 Bits,Easy,82.4
biweekly-contest-20,Biweekly Contest 20,2020-02-22,4,number-of-substrings-containing-all-three-characters,1358,Number of Substrings Containing All Three Characters,Medium,74.4
biweekly-contest-20,Biweekly Contest 20,2020-02-22,4,count-all-valid-pickup-and-delivery-options,1359,Count All Valid Pickup and Delivery Options,Hard,64.9
biweekly-contest-20,Biweekly Contest 20,2020-02-22,4,apply-discount-every-n-orders,1357,Apply Discount Every n Orders,Medium,65.9
biweekly-contest-21,Biweekly Contest 21,2020-03-07,4,find-the-longest-substring-containing-vowels-in-even-counts,1371,Find the Longest Substring Containing Vowels in Even Counts,Medium,75.6
biweekly-contest-21,Biweekly Contest 21,2020-03-07,4,maximum-sum-bst-in-binary-tree,1373,Maximum Sum BST in Binary Tree,Hard,48.4
biweekly-contest-21,Biweekly Contest 21,2020-03-07,4,increasing-decreasing-string,1370,Increasing Decreasing String,Easy,77.3
biweekly-contest-21,Biweekly Contest 21,2020-03-07,4,longest-zigzag-path-in-a-binary-tree,1372,Longest ZigZag Path in a Binary Tree,Medium,67.3
biweekly-contest-22,Biweekly Contest 22,2020-03-21,4,cinema-seat-allocation,1386,Cinema Seat Allocation,Medium,44.8
biweekly-contest-22,Biweekly Contest 22,2020-03-21,4,pizza-with-3n-slices,1388,Pizza With 3n Slices,Hard,54.1
biweekly-contest-22,Biweekly Contest 22,2020-03-21,4,find-the-distance-value-between-two-arrays,1385,Find the Distance Value Between Two Arrays,Easy,72.1
biweekly-contest-22,Biweekly Contest 22,2020-03-21,4,sort-integers-by-the-power-value,1387,Sort Integers by The Power Value,Medium,71.7
biweekly-contest-23,Biweekly Contest 23,2020-04-04,4,construct-k-palindrome-strings,1400,Construct K Palindrome Strings,Medium,68.5
biweekly-contest-23,Biweekly Contest 23,2020-04-04,4,circle-and-rectangle-overlapping,1401,Circle and Rectangle Overlapping,Medium,50.3
biweekly-contest-23,Biweekly Contest 23,2020-04-04,4,reducing-dishes,1402,Reducing Dishes,Hard,76.8
biweekly-contest-23,Biweekly Contest 23,2020-04-04,4,count-largest-group,1399,Count Largest Group,Easy,74.7
biweekly-contest-24,Biweekly Contest 24,2020-04-18,4,the-k-th-lexicographical-string-of-all-happy-strings-of-length-n,1415,The k-th Lexicographical String of All Happy Strings of Length n,Medium,87.1
biweekly-contest-24,Biweekly Contest 24,2020-04-18,4,find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k,1414,Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,Medium,64.7
biweekly-contest-24,Biweekly Contest 24,2020-04-18,4,restore-the-array,1416,Restore The Array,Hard,46.7
biweekly-contest-24,Biweekly Contest 24,2020-04-18,4,minimum-value-to-get-positive-step-by-step-sum,1413,Minimum Value to Get Positive Step by Step Sum,Easy,64.8
biweekly-contest-25,Biweekly Contest 25,2020-05-02,4,kids-with-the-greatest-number-of-candies,1431,Kids With the Greatest Number of Candies,Easy,88.0
biweekly-contest-25,Biweekly Contest 25,2020-05-02,4,max-difference-you-can-get-from-changing-an-integer,1432,Max Difference You Can Get From Changing an Integer,Medium,48.6
biweekly-contest-25,Biweekly Contest 25,2020-05-02,4,check-if-a-string-can-break-another-string,1433,Check If a String Can Break Another String,Medium,71.1
biweekly-contest-25,Biweekly Contest 25,2020-05-02,4,number-of-ways-to-wear-different-hats-to-each-other,1434,Number of Ways to Wear Different Hats to Each Other,Hard,46.5
biweekly-contest-26,Biweekly Contest 26,2020-05-16,4,count-good-nodes-in-binary-tree,1448,Count Good Nodes in Binary Tree,Medium,73.9
biweekly-contest-26,Biweekly Contest 26,2020-05-16,4,form-largest-integer-with-digits-that-add-up-to-target,1449,Form Largest Integer With Digits That Add up to Target,Hard,49.9
biweekly-contest-26,Biweekly Contest 26,2020-05-16,4,simplified-fractions,1447,Simplified Fractions,Medium,70.0
biweekly-contest-26,Biweekly Contest 26,2020-05-16,4,consecutive-characters,1446,Consecutive Characters,Easy,60.4
biweekly-contest-27,Biweekly Contest 27,2020-05-30,4,course-schedule-iv,1462,Course Schedule IV,Medium,60.1
biweekly-contest-27,Biweekly Contest 27,2020-05-30,4,make-two-arrays-equal-by-reversing-subarrays,1460,Make Two Arrays Equal by Reversing Subarrays,Easy,75.8
biweekly-contest-27,Biweekly Contest 27,2020-05-30,4,cherry-pickup-ii,1463,Cherry Pickup II,Hard,72.6
biweekly-contest-27,Biweekly Contest 27,2020-05-30,4,check-if-a-string-contains-all-binary-codes-of-size-k,1461,Check If a String Contains All Binary Codes of Size K,Medium,61.6
biweekly-contest-28,Biweekly Contest 28,2020-06-13,4,find-two-non-overlapping-sub-arrays-each-with-target-sum,1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,Medium,36.9
biweekly-contest-28,Biweekly Contest 28,2020-06-13,4,allocate-mailboxes,1478,Allocate Mailboxes,Hard,56.8
biweekly-contest-28,Biweekly Contest 28,2020-06-13,4,subrectangle-queries,1476,Subrectangle Queries,Medium,86.4
biweekly-contest-28,Biweekly Contest 28,2020-06-13,4,final-prices-with-a-special-discount-in-a-shop,1475,Final Prices With a Special Discount in a Shop,Easy,84.3
biweekly-contest-29,Biweekly Contest 29,2020-06-27,4,parallel-courses-ii,1494,Parallel Courses II,Hard,31.2
biweekly-contest-29,Biweekly Contest 29,2020-06-27,4,average-salary-excluding-the-minimum-and-maximum-salary,1491,Average Salary Excluding the Minimum and Maximum Salary,Easy,63.6
biweekly-contest-29,Biweekly Contest 29,2020-06-27,4,longest-subarray-of-1s-after-deleting-one-element,1493,Longest Subarray of 1's After Deleting One Element,Medium,71.4
biweekly-contest-29,Biweekly Contest 29,2020-06-27,4,the-kth-factor-of-n,1492,The kth Factor of n,Medium,70.5
biweekly-contest-30,Biweekly Contest 30,2020-07-11,4,reformat-date,1507,Reformat Date,Easy,68.7
biweekly-contest-30,Biweekly Contest 30,2020-07-11,4,minimum-difference-between-largest-and-smallest-value-in-three-moves,1509,Minimum Difference Between Largest and Smallest Value in Three Moves,Medium,59.2
biweekly-contest-30,Biweekly Contest 30,2020-07-11,4,range-sum-of-sorted-subarray-sums,1508,Range Sum of Sorted Subarray Sums,Medium,63.0
biweekly-contest-30,Biweekly Contest 30,2020-07-11,4,stone-game-iv,1510,Stone Game IV,Hard,59.6
biweekly-contest-31,Biweekly Contest 31,2020-07-25,4,number-of-sub-arrays-with-odd-sum,1524,Number of Sub-arrays With Odd Sum,Medium,55.6
biweekly-contest-31,Biweekly Contest 31,2020-07-25,4,count-odd-numbers-in-an-interval-range,1523,Count Odd Numbers in an Interval Range,Easy,54.6
biweekly-contest-31,Biweekly Contest 31,2020-07-25,4,number-of-good-ways-to-split-a-string,1525,Number of Good Ways to Split a String,Medium,68.5
biweekly-contest-31,Biweekly Contest 31,2020-07-25,4,minimum-number-of-increments-on-subarrays-to-form-a-target-array,1526,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,78.2
biweekly-contest-32,Biweekly Contest 32,2020-08-08,4,kth-missing-positive-number,1539,Kth Missing Positive Number,Easy,63.8
biweekly-contest-32,Biweekly Contest 32,2020-08-08,4,minimum-insertions-to-balance-a-parentheses-string,1541,Minimum Insertions to Balance a Parentheses String,Medium,53.6
biweekly-contest-32,Biweekly Contest 32,2020-08-08,4,find-longest-awesome-substring,1542,Find Longest Awesome Substring,Hard,47.2
biweekly-contest-32,Biweekly Contest 32,2020-08-08,4,can-convert-string-in-k-moves,1540,Can Convert String in K Moves,Medium,37.9
biweekly-contest-33,Biweekly Contest 33,2020-08-22,4,thousand-separator,1556,Thousand Separator,Easy,53.8
biweekly-contest-33,Biweekly Contest 33,2020-08-22,4,minimum-number-of-vertices-to-reach-all-nodes,1557,Minimum Number of Vertices to Reach All Nodes,Medium,81.7
biweekly-contest-33,Biweekly Contest 33,2020-08-22,4,detect-cycles-in-2d-grid,1559,Detect Cycles in 2D Grid,Medium,63.4
biweekly-contest-33,Biweekly Contest 33,2020-08-22,4,minimum-numbers-of-function-calls-to-make-target-array,1558,Minimum Numbers of Function Calls to Make Target Array,Medium,62.7
biweekly-contest-34,Biweekly Contest 34,2020-09-05,4,matrix-diagonal-sum,1572,Matrix Diagonal Sum,Easy,84.5
biweekly-contest-34,Biweekly Contest 34,2020-09-05,4,shortest-subarray-to-be-removed-to-make-array-sorted,1574,Shortest Subarray to be Removed to Make Array Sorted,Medium,51.3
biweekly-contest-34,Biweekly Contest 34,2020-09-05,4,number-of-ways-to-split-a-string,1573,Number of Ways to Split a String,Medium,34.7
biweekly-contest-34,Biweekly Contest 34,2020-09-05,4,count-all-possible-routes,1575,Count All Possible Routes,Hard,64.8
biweekly-contest-35,Biweekly Contest 35,2020-09-19,4,strange-printer-ii,1591,Strange Printer II,Hard,60.9
biweekly-contest-35,Biweekly Contest 35,2020-09-19,4,make-sum-divisible-by-p,1590,Make Sum Divisible by P,Medium,42.6
biweekly-contest-35,Biweekly Contest 35,2020-09-19,4,sum-of-all-odd-length-subarrays,1588,Sum of All Odd Length Subarrays,Easy,84.1
biweekly-contest-35,Biweekly Contest 35,2020-09-19,4,maximum-sum-obtained-of-any-permutation,1589,Maximum Sum Obtained of Any Permutation,Medium,41.2
biweekly-contest-36,Biweekly Contest 36,2020-10-03,4,find-valid-matrix-given-row-and-column-sums,1605,Find Valid Matrix Given Row and Column Sums,Medium,82.6
biweekly-contest-36,Biweekly Contest 36,2020-10-03,4,alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,Medium,46.3
biweekly-contest-36,Biweekly Contest 36,2020-10-03,4,design-parking-system,1603,Design Parking System,Easy,87.2
biweekly-contest-36,Biweekly Contest 36,2020-10-03,4,find-servers-that-handled-most-number-of-requests,1606,Find Servers That Handled Most Number of Requests,Hard,45.6
biweekly-contest-37,Biweekly Contest 37,2020-10-17,4,mean-of-array-after-removing-some-elements,1619,Mean of Array After Removing Some Elements,Easy,72.1
biweekly-contest-37,Biweekly Contest 37,2020-10-17,4,fancy-sequence,1622,Fancy Sequence,Hard,41.5
biweekly-contest-37,Biweekly Contest 37,2020-10-17,4,coordinate-with-maximum-network-quality,1620,Coordinate With Maximum Network Quality,Medium,39.8
biweekly-contest-37,Biweekly Contest 37,2020-10-17,4,number-of-sets-of-k-non-overlapping-line-segments,1621,Number of Sets of K Non-Overlapping Line Segments,Medium,46.1
biweekly-contest-38,Biweekly Contest 38,2020-10-31,4,sort-array-by-increasing-frequency,1636,Sort Array by Increasing Frequency,Easy,80.9
biweekly-contest-38,Biweekly Contest 38,2020-10-31,4,count-substrings-that-differ-by-one-character,1638,Count Substrings That Differ by One Character,Medium,72.3
biweekly-contest-38,Biweekly Contest 38,2020-10-31,4,number-of-ways-to-form-a-target-string-given-a-dictionary,1639,Number of Ways to Form a Target String Given a Dictionary,Hard,56.4
biweekly-contest-38,Biweekly Contest 38,2020-10-31,4,widest-vertical-area-between-two-points-containing-no-points,1637,Widest Vertical Area Between Two Points Containing No Points,Easy,87.1
biweekly-contest-39,Biweekly Contest 39,2020-11-14,4,minimum-deletions-to-make-string-balanced,1653,Minimum Deletions to Make String Balanced,Medium,68.2
biweekly-contest-39,Biweekly Contest 39,2020-11-14,4,defuse-the-bomb,1652,Defuse the Bomb,Easy,79.4
biweekly-contest-39,Biweekly Contest 39,2020-11-14,4,distribute-repeating-integers,1655,Distribute Repeating Integers,Hard,41.0
biweekly-contest-39,Biweekly Contest 39,2020-11-14,4,minimum-jumps-to-reach-home,1654,Minimum Jumps to Reach Home,Medium,31.0
biweekly-contest-40,Biweekly Contest 40,2020-11-28,4,maximum-repeating-substring,1668,Maximum Repeating Substring,Easy,42.0
biweekly-contest-40,Biweekly Contest 40,2020-11-28,4,merge-in-between-linked-lists,1669,Merge In Between Linked Lists,Medium,83.1
biweekly-contest-40,Biweekly Contest 40,2020-11-28,4,design-front-middle-back-queue,1670,Design Front Middle Back Queue,Medium,58.3
biweekly-contest-40,Biweekly Contest 40,2020-11-28,4,minimum-number-of-removals-to-make-mountain-array,1671,Minimum Number of Removals to Make Mountain Array,Hard,54.8
biweekly-contest-41,Biweekly Contest 41,2020-12-12,4,delivering-boxes-from-storage-to-ports,1687,Delivering Boxes from Storage to Ports,Hard,39.9
biweekly-contest-41,Biweekly Contest 41,2020-12-12,4,count-the-number-of-consistent-strings,1684,Count the Number of Consistent Strings,Easy,88.5
biweekly-contest-41,Biweekly Contest 41,2020-12-12,4,sum-of-absolute-differences-in-a-sorted-array,1685,Sum of Absolute Differences in a Sorted Array,Medium,68.4
biweekly-contest-41,Biweekly Contest 41,2020-12-12,4,stone-game-vi,1686,Stone Game VI,Medium,60.9
biweekly-contest-42,Biweekly Contest 42,2020-12-26,4,number-of-students-unable-to-eat-lunch,1700,Number of Students Unable to Eat Lunch,Easy,79.9
biweekly-contest-42,Biweekly Contest 42,2020-12-26,4,maximum-binary-string-after-change,1702,Maximum Binary String After Change,Medium,47.8
biweekly-contest-42,Biweekly Contest 42,2020-12-26,4,minimum-adjacent-swaps-for-k-consecutive-ones,1703,Minimum Adjacent Swaps for K Consecutive Ones,Hard,42.4
biweekly-contest-42,Biweekly Contest 42,2020-12-26,4,average-waiting-time,1701,Average Waiting Time,Medium,73.1
biweekly-contest-43,Biweekly Contest 43,2021-01-09,4,maximum-score-from-removing-substrings,1717,Maximum Score From Removing Substrings,Medium,66.4
biweekly-contest-43,Biweekly Contest 43,2021-01-09,4,construct-the-lexicographically-largest-valid-sequence,1718,Construct the Lexicographically Largest Valid Sequence,Medium,72.6
biweekly-contest-43,Biweekly Contest 43,2021-01-09,4,calculate-money-in-leetcode-bank,1716,Calculate Money in Leetcode Bank,Easy,82.4
biweekly-contest-43,Biweekly Contest 43,2021-01-09,4,number-of-ways-to-reconstruct-a-tree,1719,Number Of Ways To Reconstruct A Tree,Hard,46.1
biweekly-contest-44,Biweekly Contest 44,2021-01-23,4,find-the-highest-altitude,1732,Find the Highest Altitude,Easy,84.6
biweekly-contest-44,Biweekly Contest 44,2021-01-23,4,count-ways-to-make-array-with-product,1735,Count Ways to Make Array With Product,Hard,55.2
biweekly-contest-44,Biweekly Contest 44,2021-01-23,4,minimum-number-of-people-to-teach,1733,Minimum Number of People to Teach,Medium,67.2
biweekly-contest-44,Biweekly Contest 44,2021-01-23,4,decode-xored-permutation,1734,Decode XORed Permutation,Medium,67.1
biweekly-contest-45,Biweekly Contest 45,2021-02-06,4,sum-of-unique-elements,1748,Sum of Unique Elements,Easy,80.2
biweekly-contest-45,Biweekly Contest 45,2021-02-06,4,maximum-absolute-sum-of-any-subarray,1749,Maximum Absolute Sum of Any Subarray,Medium,70.8
biweekly-contest-45,Biweekly Contest 45,2021-02-06,4,minimum-length-of-string-after-deleting-similar-ends,1750,Minimum Length of String After Deleting Similar Ends,Medium,56.1
biweekly-contest-45,Biweekly Contest 45,2021-02-06,4,maximum-number-of-events-that-can-be-attended-ii,1751,Maximum Number of Events That Can Be Attended II,Hard,63.4
biweekly-contest-46,Biweekly Contest 46,2021-02-20,4,form-array-by-concatenating-subarrays-of-another-array,1764,Form Array by Concatenating Subarrays of Another Array,Medium,54.9
biweekly-contest-46,Biweekly Contest 46,2021-02-20,4,tree-of-coprimes,1766,Tree of Coprimes,Hard,44.5
biweekly-contest-46,Biweekly Contest 46,2021-02-20,4,map-of-highest-peak,1765,Map of Highest Peak,Medium,76.1
biweekly-contest-46,Biweekly Contest 46,2021-02-20,4,longest-nice-substring,1763,Longest Nice Substring,Easy,64.6
biweekly-contest-47,Biweekly Contest 47,2021-03-06,4,sum-of-beauty-of-all-substrings,1781,Sum of Beauty of All Substrings,Medium,74.5
biweekly-contest-47,Biweekly Contest 47,2021-03-06,4,find-nearest-point-that-has-the-same-x-or-y-coordinate,1779,Find Nearest Point That Has the Same X or Y Coordinate,Easy,70.0
biweekly-contest-47,Biweekly Contest 47,2021-03-06,4,count-pairs-of-nodes,1782,Count Pairs Of Nodes,Hard,43.0
biweekly-contest-47,Biweekly Contest 47,2021-03-06,4,check-if-number-is-a-sum-of-powers-of-three,1780,Check if Number is a Sum of Powers of Three,Medium,79.4
biweekly-contest-48,Biweekly Contest 48,2021-03-20,4,design-authentication-manager,1797,Design Authentication Manager,Medium,58.6
biweekly-contest-48,Biweekly Contest 48,2021-03-20,4,maximize-score-after-n-operations,1799,Maximize Score After N Operations,Hard,57.9
biweekly-contest-48,Biweekly Contest 48,2021-03-20,4,second-largest-digit-in-a-string,1796,Second Largest Digit in a String,Easy,54.9
biweekly-contest-48,Biweekly Contest 48,2021-03-20,4,maximum-number-of-consecutive-values-you-can-make,1798,Maximum Number of Consecutive Values You Can Make,Medium,64.2
biweekly-contest-49,Biweekly Contest 49,2021-04-03,4,maximum-number-of-groups-getting-fresh-donuts,1815,Maximum Number of Groups Getting Fresh Donuts,Hard,41.4
biweekly-contest-49,Biweekly Contest 49,2021-04-03,4,sentence-similarity-iii,1813,Sentence Similarity III,Medium,48.4
biweekly-contest-49,Biweekly Contest 49,2021-04-03,4,count-nice-pairs-in-an-array,1814,Count Nice Pairs in an Array,Medium,48.4
biweekly-contest-49,Biweekly Contest 49,2021-04-03,4,determine-color-of-a-chessboard-square,1812,Determine Color of a Chessboard Square,Easy,80.0
biweekly-contest-50,Biweekly Contest 50,2021-04-17,4,minimum-number-of-operations-to-make-string-sorted,1830,Minimum Number of Operations to Make String Sorted,Hard,50.3
